| id_venda | cliente_id | nome_cliente | valor    | categoria   |
|----------|------------|--------------|----------|-------------|
| V001     | 10         | Alice Silva  | 1200.00  | Eletronicos |
| V002     | 20         | Bruno Costa  | 200.00   | Vestuario   |
| V003     | 10         | Alice Silva  | 300.00   | Outros      |
| V004     | 30         | Carla Souza  | 6000.00  | Eletronicos |
| V005     | 40         | Nathan Squefi| 150.00   | Eletronicos |
| V006     | 50         | Marina Moli  | 300.00   | Vestuario   |
| V007     | 20         | Bruno Costa  | 150.00   | Outros      |
| V008     | 60         | Luis Colpes  | 360.00   | Eletronicos |
| V009     | 60         | Luis Colpes  | 3600.00  | Vestuario   |
| V010     | 60         | Luis Colpes  | 460.00   | Outros      |
